 ,Mkt-RF,SMB,HML,RF,Mom,ST_Rev,LT_Rev
196711,0.37,0.21,-1.7,0.36,1.26,0.2,-2.18
196712,3.05,5.73,-0.53,0.33,3.25,-0.04,2.06
196801,-4.06,3.92,4.8,0.4,-4.7,3.96,5.95
196802,-3.75,-2.94,1.28,0.39,-3.43,-0.87,2.68
196803,0.2,-1.34,-0.59,0.38,3.23,1.54,-2.42
196804,9.05,5.68,-1.13,0.43,5.09,-0.74,-4.86
196805,2.28,6.4,0.85,0.45,3.8,-1.96,-1.86
196806,0.69,-0.19,0.73,0.43,-1.9,3.74,2.76
196807,-2.72,-1.36,5.39,0.48,-0.88,-1.33,6.31
196808,1.34,2.34,1.01,0.42,1.89,0.71,0.77
196809,4.03,2.8,0.3,0.43,-0.65,-0.15,0.04
196810,0.42,-0.48,2.86,0.44,-1.46,1.34,2.72
196811,5.43,2.34,-0.92,0.42,1.75,3.29,-2.16
196812,-3.94,3.37,-0.01,0.43,-0.01,2.39,-0.91
196901,-1.25,-0.74,1.67,0.53,-0.17,2.52,2.4
196902,-5.84,-3.92,0.91,0.46,-2.36,2.39,2.32
196903,2.64,-0.3,-0.51,0.46,3.97,0.29,-0.01
196904,1.46,-0.86,-0.03,0.53,1.13,-0.96,0.09
196905,-0.1,-0.21,0.7,0.48,1.7,1.44,1.36
196906,-7.18,-5.37,-1.08,0.51,-2.3,-0.11,1.46
196907,-7.0,-3.24,1.2,0.53,1.71,-1.61,2.97
196908,4.68,0.93,-3.79,0.5,2.17,3.28,-4.63
196909,-2.98,1.18,-3.27,0.62,2.52,0.63,-1.13
196910,5.06,3.91,-3.16,0.6,-4.31,-0.48,-1.72
196911,-3.79,-2.58,-1.19,0.52,3.66,1.04,-0.5
196912,-2.63,-3.71,-2.86,0.64,4.96,-2.86,0.09
197001,-8.1,2.93,3.13,0.6,0.6,-0.26,4.11
197002,5.13,-2.58,3.93,0.62,0.23,2.82,1.57
197003,-1.06,-2.32,3.99,0.57,-0.36,0.63,5.16
197004,-11.0,-6.15,6.18,0.5,-0.77,-4.54,6.85
197005,-6.92,-4.59,3.33,0.53,-2.78,-3.16,3.83
197006,-5.79,-2.13,0.6,0.58,5.7,-0.1,3.19
197007,6.93,-0.5,0.9,0.52,-3.14,3.97,1.49
197008,4.49,1.52,1.15,0.53,-6.55,1.52,-0.85
197009,4.18,8.59,-5.47,0.54,-8.8,0.57,-7.56
197010,-2.28,-4.21,0.22,0.46,9.42,6.79,0.77
197011,4.6,-3.94,1.69,0.46,2.73,-0.52,2.05
197012,5.72,2.92,1.0,0.42,-2.23,2.37,1.23
197101,4.84,7.36,1.33,0.38,-6.51,1.88,0.8
197102,1.41,1.86,-1.23,0.33,0.79,1.76,-0.21
197103,4.13,2.62,-3.95,0.3,-1.41,0.1,-1.98
197104,3.15,-0.49,0.69,0.28,1.41,0.92,2.02
197105,-3.98,-1.04,-1.44,0.29,0.86,0.53,-0.66
197106,-0.1,-1.47,-1.87,0.37,2.73,-0.99,-1.15
197107,-4.5,-1.48,0.02,0.4,-2.35,1.37,-2.93
